Mine ID,Operator,Mine Name,Type,Status,State,County,Primary Canvass Code,Commodity
1515869,Buccaneer Coal Company Inc,No 1,Surface,Abandoned,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515870,Timberline Construction Inc,#1 Surface,Surface,Abandoned,Kentucky,Knott,Coal (Bituminous and Lignite),Coal (Bituminous)
1515871,Smith Coal Company,No 1 Strip,Surface,Abandoned,Kentucky,Knox,Coal (Bituminous and Lignite),Coal (Bituminous)
1515872,Southern Light Coal Company,Mine No 1,Underground,AbandonedSealed,Kentucky,Whitley,Coal (Bituminous and Lignite),Coal (Bituminous)
1515873,Nolin Energy Inc,Clover Bottom Creek,Surface,Abandoned,Kentucky,Jackson,Coal (Bituminous and Lignite),Coal (Bituminous)
1515874,Arnold Fork Mining Inc,Arnold Fork Mining Inc,Surface,Abandoned,Kentucky,Knott,Coal (Bituminous and Lignite),Coal (Bituminous)
1515875,Martin County Coal Corp,Wildcat #2 Mine,Underground,AbandonedSealed,Kentucky,Martin,Coal (Bituminous and Lignite),Coal (Bituminous)
1515876,Unity Fossil Fuel Inc,Dunigan Branch,Surface,Abandoned,Kentucky,Lee,Coal (Bituminous and Lignite),Coal (Bituminous)
1515877,L G & C Coal Company Inc,Mine #2,Underground,AbandonedSealed,Kentucky,Morgan,Coal (Bituminous and Lignite),Coal (Bituminous)
1515878,A-B-C Coal Company,Mine No 1,Surface,AbandonedSealed,Kentucky,Knox,Coal (Bituminous and Lignite),Coal (Bituminous)
1515879,Stephen Elkhorn Inc,No 2,Underground,AbandonedSealed,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1515880,C Y Smith Inc,C Y Smith #8,Underground,AbandonedSealed,Kentucky,Knox,Coal (Bituminous and Lignite),Coal (Bituminous)
1515881,Clifford Jarvis,No1,Surface,Abandoned,Kentucky,Clay,Coal (Bituminous and Lignite),Coal (Bituminous)
1515882,Andy Gayhart Coal Company,No 1 Surface,Surface,Abandoned,Kentucky,Perry,Coal (Bituminous and Lignite),Coal (Bituminous)
1515883,Clarence M Pelfrey Coal Company,Mine #1,Surface,Abandoned,Kentucky,Perry,Coal (Bituminous and Lignite),Coal (Bituminous)
1515884,Do Good Mining Inc,No 1 Mine,Surface,AbandonedSealed,Kentucky,Laurel,Coal (Bituminous and Lignite),Coal (Bituminous)
1515885,Industrial Carbon Corp,No 1 Surface,Surface,Abandoned,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515886,Nats Creek Mining Company Inc,Number 1 Surface,Surface,Abandoned,Kentucky,Lawrence,Coal (Bituminous and Lignite),Coal (Bituminous)
1515887,Crystal Springs Inc,No 1,Underground,AbandonedSealed,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
